sweep_tag,obs_window,min_residency,threshold_profile,seed,bench,mode,cycles,retired,ipc,cpi,ipc_x1000,stalls,stalls_per_inst,flushes,flushes_per_inst,mem_wait,mem_wait_per_inst,load_use,load_use_per_inst,reconfigs,reconfig_penalty,reconfig_penalty_per_switch,energy,energy_per_inst,safety_faults,phase,final_mode,timed_out,arch_hash
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,static_normal,30,22,0.7333,1.3636,733,7,0.3182,0,0.0000,0,0.0000,1,0.0455,0,0,0.0000,176,8.0000,0,balanced,normal,0,0x028d9a0a
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,fixed_branch,30,22,0.7333,1.3636,733,7,0.3182,0,0.0000,0,0.0000,1,0.0455,0,0,0.0000,176,8.0000,0,balanced,branch_opt,0,0x028d9a0a
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,fixed_memory,30,22,0.7333,1.3636,733,7,0.3182,0,0.0000,0,0.0000,1,0.0455,0,0,0.0000,176,8.0000,0,balanced,memory_opt,0,0x028d9a0a
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,fixed_hazard,29,22,0.7586,1.3182,758,6,0.2727,0,0.0000,0,0.0000,0,0.0000,0,0,0.0000,173,7.8636,0,balanced,hazard_opt,0,0x028d9a0a
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,fixed_low_power,30,22,0.7333,1.3636,733,7,0.3182,0,0.0000,0,0.0000,1,0.0455,0,0,0.0000,116,5.2727,0,balanced,low_power,0,0x028d9a0a
w16_r8_thtight_seed0,16,8,tight,0,arithmetic_heavy,adaptive_pipesense,30,22,0.7333,1.3636,733,7,0.3182,0,0.0000,0,0.0000,1,0.0455,0,0,0.0000,176,8.0000,0,balanced,normal,0,0x028d9a0a
w16_r8_thtight_seed0,16,8,tight,0,branch_heavy,static_normal,128,74,0.5781,1.7297,578,30,0.4054,46,0.6216,0,0.0000,1,0.0135,0,0,0.0000,678,9.1622,0,frontend_stall,normal,0,0xcb468f4c
w16_r8_thtight_seed0,16,8,tight,0,branch_heavy,fixed_branch,105,74,0.7048,1.4189,704,7,0.0946,23,0.3108,0,0.0000,1,0.0135,0,0,0.0000,609,8.2297,0,branch_heavy,branch_opt,0,0xcb468f4c
w16_r8_thtight_seed0,16,8,tight,0,branch_heavy,fixed_memory,128,74,0.5781,1.7297,578,30,0.4054,46,0.6216,0,0.0000,1,0.0135,0,0,0.0000,678,9.1622,0,frontend_stall,memory_opt,0,0xcb468f4c
w16_r8_thtight_seed0,16,8,tight,0,branch_heavy,fixed_hazard,127,74,0.5827,1.7162,582,29,0.3919,46,0.6216,0,0.0000,0,0.0000,0,0,0.0000,675,9.1216,0,branch_heavy,hazard_opt,0,0xcb468f4c
w16_r8_thtight_seed0,16,8,tight,0,branch_heavy,fixed_low_power,128,74,0.5781,1.7297,578,30,0.4054,46,0.6216,0,0.0000,1,0.0135,0,0,0.0000,422,5.7027,0,frontend_stall,low_power,0,0xcb468f4c
